package	architecture	version	archive	size	sha256	suites	components	repositoryFilename	publishedSha256
gcc-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	gcc-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	1212	72e79089a10e381360bfc6f03c5e5d8c2ff177d6dbac2cd7ffb3cc1383f57591	noble	main	pool/main/g/gcc-defaults/gcc-x86-64-linux-gnu_13.2.0-7ubuntu1_amd64.deb	72e79089a10e381360bfc6f03c5e5d8c2ff177d6dbac2cd7ffb3cc1383f57591
gperf	amd64	3.1-1build1	gperf_3.1-1build1_amd64.deb	103172	f6701027304592fe819d219a5ee00d8b56ba4b2a05a7623dd923f1884d595042	noble	universe	pool/universe/g/gperf/gperf_3.1-1build1_amd64.deb	f6701027304592fe819d219a5ee00d8b56ba4b2a05a7623dd923f1884d595042
java-common	all	0.75+exp1	java-common_0.75+exp1_all.deb	6798	9029d787c97f9b9e9bb04e7a4fb92bfc12fbd10b5809aab8694a8735b85bc070	noble	main	pool/main/j/java-common/java-common_0.75+exp1_all.deb	9029d787c97f9b9e9bb04e7a4fb92bfc12fbd10b5809aab8694a8735b85bc070
libasan8	amd64	14.2.0-4ubuntu2~24.04.1	libasan8_14.2.0-4ubuntu2~24.04.1_amd64.deb	3026656	8321aac6230fa1da320e76eb6288b7436164624aec449ed3933ea6c4cc86daac	noble-security,noble-updates	main	pool/main/g/gcc-14/libasan8_14.2.0-4ubuntu2~24.04.1_amd64.deb	8321aac6230fa1da320e76eb6288b7436164624aec449ed3933ea6c4cc86daac
libatomic1	amd64	14.2.0-4ubuntu2~24.04.1	libatomic1_14.2.0-4ubuntu2~24.04.1_amd64.deb	10466	fe49cbbc7be753528380c724a8eef5f1e31dffa9221f692c5069048d81c7449d	noble-security,noble-updates	main	pool/main/g/gcc-14/libatomic1_14.2.0-4ubuntu2~24.04.1_amd64.deb	fe49cbbc7be753528380c724a8eef5f1e31dffa9221f692c5069048d81c7449d
libbinutils	amd64	2.42-4ubuntu2.10	libbinutils_2.42-4ubuntu2.10_amd64.deb	576834	064dce00ce94e1fc2d33779cb0071088f4c8aac79e85345f2e78a020f7d14699	noble-updates	main	pool/main/b/binutils/libbinutils_2.42-4ubuntu2.10_amd64.deb	064dce00ce94e1fc2d33779cb0071088f4c8aac79e85345f2e78a020f7d14699
libc-dev-bin	amd64	2.39-0ubuntu8.8	libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	20418	c894e5a5f137429657d09e853fbbb19d53fc164c60804c396cd43873b0b4f734	noble-security,noble-updates	main	pool/main/g/glibc/libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	c894e5a5f137429657d09e853fbbb19d53fc164c60804c396cd43873b0b4f734
libc6-dev	amd64	2.39-0ubuntu8.8	libc6-dev_2.39-0ubuntu8.8_amd64.deb	2125374	bb8741966e7c1d2e2c0b84bb311717a0908fb563d9b2247b7212710e3cd88b94	noble-security,noble-updates	main	pool/main/g/glibc/libc6-dev_2.39-0ubuntu8.8_amd64.deb	bb8741966e7c1d2e2c0b84bb311717a0908fb563d9b2247b7212710e3cd88b94
libcc1-0	amd64	14.2.0-4ubuntu2~24.04.1	libcc1-0_14.2.0-4ubuntu2~24.04.1_amd64.deb	48002	454456436ca767817a860557263d7cc2489f0a410f03efff4c0bb236d579ec09	noble-security,noble-updates	main	pool/main/g/gcc-14/libcc1-0_14.2.0-4ubuntu2~24.04.1_amd64.deb	454456436ca767817a860557263d7cc2489f0a410f03efff4c0bb236d579ec09
libcrypt-dev	amd64	1:4.4.36-4build1	libcrypt-dev_1%3a4.4.36-4build1_amd64.deb	111780	2edff420ef80b4a3f3751e65c33423ef30e563122a58b759e4854ea8d84ba1b1	noble	main	pool/main/libx/libxcrypt/libcrypt-dev_4.4.36-4build1_amd64.deb	2edff420ef80b4a3f3751e65c33423ef30e563122a58b759e4854ea8d84ba1b1
